Tender ID: 54694204eadf4fadac73e2ed78d8a10c, ID: UA-2017-10-27-000028-c, response code: 200, token: 811c382556d640939db9985e908cb746, published: 2017-10-27 10:30:03.402497, lots: 1
Tender ID: 19017e821b5448aba7a021d71c2bdbbe, ID: UA-2017-10-27-000026-a, response code: 200, token: 40aaf8c337d24fdca1ab3cddd3376a2d, published: 2017-10-27 10:35:40.974899, lots: 2
Tender ID: bf0424b3c43f48fb9e3f299cc209c086, ID: UA-2017-10-27-000079-c, response code: 200, token: 94a760984481452da4099dfaf7fc8977, published: 2017-10-27 18:15:09.954969, lots: 1
Tender ID: 366de1e5c3e5459b9586f3651a343a20, ID: UA-2017-10-27-000080-c, response code: 200, token: 948ffa595812488c8e643bfb51738056, published: 2017-10-27 18:20:32.541941, lots: 1
Tender ID: 45825ffdf0444041825253592756c931, ID: UA-2017-10-27-000057-b, response code: 200, token: ed946746977a47109237a5f6a0f889ee, published: 2017-10-27 18:21:12.351485, lots: 1
Tender ID: e10d0753034b474c91cfa2fdf62ce296, ID: UA-2017-10-27-000116-a, response code: 200, token: 158198dad5764ed5a3357f4fb18438b1, published: 2017-10-27 18:21:59.769616, lots: 1
Tender ID: a223ccd813be4027bb22d86dab127362, ID: UA-2017-10-27-000117-a, response code: 200, token: aa70d0bea7ff4d66a2a9e919cfe6d2b6, published: 2017-10-27 18:38:26.859575, lots: 1
Tender ID: 6a083b64a048435a9eb42b9c43fb4d55, ID: UA-2017-10-29-000036-a, response code: 200, token: ca8a3c9927874707a14c432cd86b6e19, published: 2017-10-29 13:10:02.758000, lots: 2
Tender ID: b195ae6649ec45cbae04c947406e4fc9, ID: UA-2017-10-29-000034-b, response code: 200, token: bbe8d66f92684f2caaf956a7f397ace5, published: 2017-10-29 13:10:15.212000, lots: 0
Tender ID: 5af6cc3f0e264772b1617b36ea378bdf, ID: UA-2017-10-30-000060-b, response code: 200, token: faa734d06edf42d387ccedaf2bba3714, published: 2017-10-30 14:53:53.770011, lots: 2
Tender ID: b376b4a56dca46e58132f494e3dfdff9, ID: UA-2017-10-30-000061-b, response code: 200, token: f6770da9362f48ef83d306d589ccb96e, published: 2017-10-30 14:54:54.234826, lots: 2
Tender ID: cbb5e951fe714cd09c88474dab323cc3, ID: UA-2017-10-30-000068-c, response code: 200, token: 34b0105d57b445d6a2eeb04d799b9540, published: 2017-10-30 14:55:00.852734, lots: 2
Tender ID: 431aaaa916bf426f9ec3c3644a90a359, ID: UA-2017-10-30-000069-c, response code: 200, token: aef05076a05b41008e10212a9b2f3fdb, published: 2017-10-30 14:55:06.362098, lots: 2
Tender ID: f104d27c59014c35aa18fffdfd19b15b, ID: UA-2017-10-30-000062-b, response code: 200, token: 24c283125e1547979e9e6dba0c71ab12, published: 2017-10-30 15:00:18.946710, lots: 2
Tender ID: d81430363f8546db8ed8a8f5392e00d6, ID: UA-2017-10-30-000074-b, response code: 200, token: abf0123a29764fb1bf0b8e3ffa622b67, published: 2017-10-30 16:01:02.565899, lots: 2
Tender ID: e961d4cc6f2c403ba205c3e195d6a12c, ID: UA-2017-10-30-000081-c, response code: 200, token: 39e0f5f8e09b4f919c49b2d1d67fdb9d, published: 2017-10-30 16:01:47.422180, lots: 2
Tender ID: 718b42f89a314d4d82c7a968574e1859, ID: UA-2017-10-30-000075-b, response code: 200, token: 8b0e9bf0f79146e6925e8ed6a99029cf, published: 2017-10-30 16:01:56.227185, lots: 0
Tender ID: c5d99ebb3ec04f79b5b75e2b806800c0, ID: UA-2017-10-30-000107-a, response code: 200, token: 85082b550f3848c897a3118a58ebea94, published: 2017-10-30 16:02:05.826766, lots: 0
Tender ID: 0740df5115454311a84461b78b7286da, ID: UA-2017-10-30-000175-a, response code: 200, token: 3eddd2de6af047849a5f615b7aafc26d, published: 2017-10-30 18:09:50.029259, lots: 1
Tender ID: e360efe270d748aa84660a59b7898ebf, ID: UA-2017-10-30-000177-a, response code: 200, token: 256daa9a5dad49eeaf56340bab5ff790, published: 2017-10-30 18:11:14.720588, lots: 1
Tender ID: b25db2ea259a43b4ad83208a01c24d13, ID: UA-2017-10-30-000097-c, response code: 200, token: e0806f92be5840baa447f73163e7d775, published: 2017-10-30 18:15:59.299607, lots: 0
Tender ID: fd6ac9fde16443c3b121023ee80d2ab9, ID: UA-2017-10-30-000180-a, response code: 200, token: 1604291b7dec426abe13b8b91ddac341, published: 2017-10-30 18:18:29.711375, lots: 1
Tender ID: 2ff6bb69f95748a893ec7f5a5737b8bd, ID: UA-2017-10-30-000098-c, response code: 200, token: de0afa929c7d4367a543a89c00227fba, published: 2017-10-30 18:22:43.156417, lots: 2
Tender ID: 99665d5725564db5b4b22e3dd75fb53c, ID: UA-2017-10-30-000091-b, response code: 200, token: 10078cdccfb94088a434d087a926c11f, published: 2017-10-30 18:22:51.439782, lots: 0
Tender ID: 0488a18594f945cfbc4e4e087163c5f0, ID: UA-2017-10-30-000099-c, response code: 200, token: 30f8145ec30b4891bfea636b52eca529, published: 2017-10-30 18:28:26.938526, lots: 1
Tender ID: 1de3e1c6ff5245b2b54dc4c9870fb53e, ID: UA-2017-10-30-000092-b, response code: 200, token: 2b318103978f4e0bb2dcecf98975c791, published: 2017-10-30 18:31:59.258253, lots: 0
Tender ID: 1248490765864b6fa1fea87880501453, ID: UA-2017-10-30-000093-b, response code: 200, token: 42e7fe076e874de3aa6bb212e6a114cd, published: 2017-10-30 18:35:23.298843, lots: 2
Tender ID: ce505fc7e0df4556adbf1054fc0289f0, ID: UA-2017-10-30-000183-a, response code: 200, token: 6bc70c7fc8e046519af0e379faef64a1, published: 2017-10-30 18:35:30.276504, lots: 0
Tender ID: 42d3eed2a7ec4684b03d2b8e40587ca9, ID: UA-2017-10-30-000094-b, response code: 200, token: 0a587a39051846d98e80827c9b041138, published: 2017-10-30 18:40:57.668068, lots: 1
Tender ID: 41a53745a99a4f5daaeed39f8c2c6f13, ID: UA-2017-10-30-000184-a, response code: 200, token: a5e85f21db5843c09b539965bd55c5bd, published: 2017-10-30 18:41:05.512529, lots: 0
Tender ID: 0433fed8011f4783861c20dc58eea737, ID: UA-2017-10-30-000185-a, response code: 200, token: 40a48f9713c849d38ec2631a857f2403, published: 2017-10-30 18:46:43.570667, lots: 1
Tender ID: 4858b70bdad54858921ea13dd03e2fab, ID: UA-2017-10-30-000101-c, response code: 200, token: ee4ee0dafe2e40c482e49be4e3c07566, published: 2017-10-30 18:46:50.228139, lots: 0
Tender ID: 54597b9ab11d4fb484904f7a62b185f4, ID: UA-2017-10-30-000095-b, response code: 200, token: 62cc93614150490997562efa2b2c6dfa, published: 2017-10-30 18:58:18.230756, lots: 2
